ArraySize,Cutoff,AvgTime(ms)
500000,1000,138.1
500000,2000,59.6
500000,3000,40.0
500000,4000,43.4
500000,5000,42.6
500000,6000,44.6
500000,7000,38.8
500000,8000,39.8
500000,9000,38.0
500000,10000,35.4
500000,11000,36.4
500000,12000,40.8
500000,13000,37.7
500000,14000,40.0
500000,15000,36.4
500000,16000,35.9
500000,17000,36.1
500000,18000,37.6
500000,19000,40.2
500000,20000,38.3
500000,21000,37.7
500000,22000,37.9
500000,23000,37.4
500000,24000,38.3
500000,25000,35.3
500000,26000,35.9
500000,27000,40.0
500000,28000,37.6
500000,29000,37.7
500000,30000,35.9
500000,31000,36.2
500000,32000,41.3
500000,33000,45.6
500000,34000,42.8
500000,35000,40.0
500000,36000,44.6
500000,37000,39.1
500000,38000,37.3
500000,39000,39.9
500000,40000,50.3
500000,41000,39.9
500000,42000,39.2
500000,43000,41.4
500000,44000,65.3
500000,45000,41.8
500000,46000,42.4
500000,47000,42.5
500000,48000,40.5
500000,49000,41.1
500000,50000,37.2
1000000,1000,89.4
1000000,2000,77.5
1000000,3000,74.4
1000000,4000,91.5
1000000,5000,79.8
1000000,6000,73.2
1000000,7000,69.0
1000000,8000,71.0
1000000,9000,88.6
1000000,10000,161.2
1000000,11000,132.4
1000000,12000,90.3
1000000,13000,79.8
1000000,14000,87.6
1000000,15000,78.5
1000000,16000,86.2
1000000,17000,87.2
1000000,18000,91.6
1000000,19000,77.8
1000000,20000,78.4
1000000,21000,79.8
1000000,22000,77.7
1000000,23000,70.5
1000000,24000,83.0
1000000,25000,83.7
1000000,26000,141.5
1000000,27000,104.5
1000000,28000,127.8
1000000,29000,95.5
1000000,30000,125.4
1000000,31000,129.4
1000000,32000,119.5
1000000,33000,119.7
1000000,34000,127.6
1000000,35000,113.2
1000000,36000,83.7
1000000,37000,214.3
1000000,38000,113.8
1000000,39000,86.0
1000000,40000,104.3
1000000,41000,101.8
1000000,42000,92.5
1000000,43000,95.8
1000000,44000,99.1
1000000,45000,110.0
1000000,46000,117.7
1000000,47000,88.3
1000000,48000,102.5
1000000,49000,92.3
1000000,50000,91.5
2000000,1000,186.7
2000000,2000,215.6
2000000,3000,162.5
2000000,4000,169.6
2000000,5000,180.1
2000000,6000,172.0
2000000,7000,197.6
2000000,8000,183.7
2000000,9000,169.7
2000000,10000,167.6
2000000,11000,159.9
2000000,12000,186.9
2000000,13000,185.0
2000000,14000,170.5
2000000,15000,317.6
2000000,16000,239.7
2000000,17000,229.3
2000000,18000,318.5
2000000,19000,309.0
2000000,20000,191.4
2000000,21000,218.0
2000000,22000,200.8
2000000,23000,160.7
2000000,24000,193.8
2000000,25000,161.1
2000000,26000,157.1
2000000,27000,174.2
2000000,28000,179.6
2000000,29000,177.5
2000000,30000,165.2
2000000,31000,138.2
2000000,32000,160.5
2000000,33000,189.8
2000000,34000,207.4
2000000,35000,222.6
2000000,36000,231.5
2000000,37000,151.8
2000000,38000,162.1
2000000,39000,142.1
2000000,40000,140.7
2000000,41000,163.6
2000000,42000,150.3
2000000,43000,145.7
2000000,44000,163.2
2000000,45000,148.6
2000000,46000,148.8
2000000,47000,154.1
2000000,48000,163.9
2000000,49000,174.8
2000000,50000,169.0
5000000,1000,548.5
5000000,2000,495.6
5000000,3000,480.8
5000000,4000,420.9
5000000,5000,410.2
5000000,6000,399.7
5000000,7000,399.8
5000000,8000,397.3
5000000,9000,431.8
5000000,10000,343.6
5000000,11000,317.2
5000000,12000,407.2
5000000,13000,410.7
5000000,14000,410.0
5000000,15000,367.1
5000000,16000,318.7
5000000,17000,309.3
5000000,18000,320.5
5000000,19000,302.2
5000000,20000,316.1
5000000,21000,317.2
5000000,22000,294.6
5000000,23000,310.0
5000000,24000,305.5
5000000,25000,319.0
5000000,26000,354.1
5000000,27000,354.5
5000000,28000,336.1
5000000,29000,326.1
5000000,30000,298.9
5000000,31000,329.6
5000000,32000,299.9
5000000,33000,294.8
5000000,34000,318.2
5000000,35000,307.4
5000000,36000,313.7
5000000,37000,314.8
5000000,38000,305.0
5000000,39000,308.1
5000000,40000,316.0
5000000,41000,302.3
5000000,42000,337.0
5000000,43000,332.4
5000000,44000,325.6
5000000,45000,321.7
5000000,46000,297.4
5000000,47000,315.8
5000000,48000,351.5
5000000,49000,321.9
5000000,50000,302.8
